position,TerrainSlope,lon,lat
23.425831,4.37887,-149.422547,-85.621262
23.595646,3.778332,-149.360943,-85.624304
23.76546,3.589451,-149.299253,-85.627341
23.780474,3.589451,-149.293795,-85.627609
23.950288,4.324096,-149.229464,-85.624909
24.120103,5.065912,-149.165213,-85.622203
24.289918,6.231134,-149.10104,-85.619491
24.459733,7.335636,-149.036948,-85.616774
24.629548,7.940382,-148.972934,-85.614052
24.799362,7.948488,-148.909,-85.611324
24.969177,7.753706,-148.845145,-85.608591
25.138992,7.716325,-148.781369,-85.605852
25.308807,7.651335,-148.717673,-85.603108
25.478622,7.170649,-148.654057,-85.600358
25.648437,6.401968,-148.590519,-85.597603
25.693652,6.401968,-148.573615,-85.596869
25.863467,5.41422,-148.530654,-85.592344
26.033282,5.905935,-148.487781,-85.587817
26.203096,6.259754,-148.444996,-85.583288
26.372911,5.953833,-148.402298,-85.578756
26.542726,5.549861,-148.359688,-85.574222
26.712541,5.301956,-148.317177,-85.569684
26.882356,4.642593,-148.274728,-85.565145
27.052171,4.030228,-148.232379,-85.560604
27.221985,4.07978,-148.190128,-85.556059
27.3918,4.75513,-148.147938,-85.551513
27.561615,5.532834,-148.105847,-85.546964
27.73143,5.940474,-148.063841,-85.542413
27.901245,5.925471,-148.021921,-85.537859
28.07106,5.693485,-147.980087,-85.533303
28.240874,5.386766,-147.938337,-85.528745
28.365246,5.136117,-147.907814,-85.525405
28.535061,5.609148,-147.866875,-85.520806
28.704875,6.060485,-147.826002,-85.516206
28.87469,6.701861,-147.785222,-85.511603
29.044505,7.153652,-147.744534,-85.506997
29.21432,7.446729,-147.703911,-85.50239
29.312662,7.555105,-147.680438,-85.499721
29.482477,7.39749,-147.750077,-85.500948
29.652292,6.948107,-147.819768,-85.502166
29.730028,6.948107,-147.851682,-85.502722
29.899843,6.943098,-147.920315,-85.504274
30.069658,6.83125,-147.988994,-85.50582
30.239473,6.27533,-148.057724,-85.507359
30.409288,5.6244,-148.126495,-85.508893
30.544846,4.981964,-148.181433,-85.510111
30.714661,4.647428,-148.246882,-85.507855
30.884476,4.173034,-148.312275,-85.505593
31.05429,4.149407,-148.377602,-85.503325
31.224105,4.313656,-148.442864,-85.501052
31.39392,4.823177,-148.508062,-85.498773
31.563735,5.171974,-148.573191,-85.496488
31.73355,4.660208,-148.638253,-85.494197
31.903364,3.810793,-148.703253,-85.4919
32.073179,3.437582,-148.768183,-85.489597
32.242994,3.82632,-148.833048,-85.487289
32.412809,4.518899,-148.897849,-85.484976
32.582624,4.990085,-148.962582,-85.482656
32.752439,5.226052,-149.027247,-85.48033
32.922253,5.517174,-149.091847,-85.477999
33.092068,5.957399,-149.156382,-85.475662
33.261883,6.313768,-149.220849,-85.47332
33.431698,6.420273,-149.285249,-85.470972
33.601513,5.799801,-149.349583,-85.468618
33.771328,4.999299,-149.41385,-85.466258
33.941142,4.475392,-149.478048,-85.463892
34.110957,3.962677,-149.542183,-85.461522
34.280772,3.615742,-149.606249,-85.459145
34.450587,3.759249,-149.670246,-85.456762
34.620402,4.171922,-149.734179,-85.454374
34.790217,4.448398,-149.798044,-85.451981
34.960031,5.073255,-149.861844,-85.449582
35.129846,5.87643,-149.925573,-85.447177
35.266822,6.167494,-149.976944,-85.445235
35.436637,5.46581,-150.047457,-85.445249
35.606452,5.12445,-150.117977,-85.445256
35.776267,4.547076,-150.188498,-85.445257
35.946082,4.157714,-150.259018,-85.445251
36.115896,4.290928,-150.329538,-85.445239
36.285711,5.048696,-150.400057,-85.445219
36.455526,5.89916,-150.470576,-85.445192
36.625341,6.474914,-150.541094,-85.445159
36.795156,6.926025,-150.611611,-85.445119
36.964971,6.747174,-150.682126,-85.445071
37.134785,6.501044,-150.75264,-85.445017
37.3046,6.685313,-150.823152,-85.444956
37.474415,5.98767,-150.893662,-85.444889
37.64423,4.771098,-150.96417,-85.444815
37.814045,3.970386,-151.034675,-85.444732
37.98386,3.871759,-151.105178,-85.444644
38.153674,4.240689,-151.175678,-85.444549
38.323489,4.215891,-151.246175,-85.444447
38.493304,4.202015,-151.316669,-85.444338
38.663119,4.660704,-151.387159,-85.444222
38.832934,4.859458,-151.457646,-85.444099
39.002748,4.449172,-151.528128,-85.443969
39.172563,4.348346,-151.598607,-85.443833
39.213384,4.348346,-151.615548,-85.443799
39.383199,4.870084,-151.639582,-85.438535
39.553014,4.67077,-151.663561,-85.43327
39.722829,3.908276,-151.687499,-85.428004
39.892644,2.898648,-151.711354,-85.422737
40.062458,2.393602,-151.735182,-85.41747
40.232273,3.258469,-151.758927,-85.412202
40.402088,4.794822,-151.782632,-85.406933
40.571903,5.731443,-151.806283,-85.401663
40.741718,6.373489,-151.82988,-85.396392
40.911532,7.10643,-151.853423,-85.391121
41.045562,7.453511,-151.871967,-85.38696
41.215376,8.453465,-151.938121,-85.388711
41.385191,8.765667,-152.004326,-85.390455
41.555006,9.208257,-152.07058,-85.392193
41.724821,9.232358,-152.136885,-85.393925
41.894636,8.099511,-152.203239,-85.395651
42.064451,6.966245,-152.269642,-85.397371
42.234265,6.738634,-152.336095,-85.399085
42.40408,6.596983,-152.402597,-85.400792
42.573895,7.077631,-152.469149,-85.402493
42.74371,7.582628,-152.535749,-85.404189
42.913525,8.075844,-152.602399,-85.405877
43.083339,8.348371,-152.669097,-85.40756
43.253154,7.969166,-152.735844,-85.409237
43.422969,7.349856,-152.80264,-85.410907
43.592784,6.408812,-152.869484,-85.412571
43.762599,5.392666,-152.936376,-85.414229
43.932414,4.93274,-153.003317,-85.415881
44.102228,4.309647,-153.070305,-85.417526
44.272043,3.36013,-153.137342,-85.419165
44.441858,2.954656,-153.204426,-85.420798
44.469344,2.954656,-153.215289,-85.421062
44.639159,2.408484,-153.267935,-85.417363
44.808974,4.160364,-153.320487,-85.413659
44.978788,5.440546,-153.372954,-85.409951
45.148603,5.841056,-153.425326,-85.406239
45.318418,5.651853,-153.477624,-85.402524
45.488233,5.894452,-153.529837,-85.398805
45.658048,6.495718,-153.581966,-85.395082
45.827863,6.501598,-153.634012,-85.391355
45.997677,5.917076,-153.685983,-85.387626
46.167492,6.006501,-153.73785,-85.38389
46.337307,7.274127,-153.789644,-85.380152
46.49486,8.002819,-153.837633,-85.376682
46.664675,7.117555,-153.864244,-85.371509
46.83449,6.580054,-153.890801,-85.366335
47.004304,5.947535,-153.91729,-85.361161
47.174119,5.010967,-153.943714,-85.355985
47.343934,3.697827,-153.97009,-85.350808
47.513749,2.6202,-153.996416,-85.345631
47.683564,2.362268,-154.022675,-85.340453
47.853379,3.822477,-154.048875,-85.335273
48.023193,4.961233,-154.075018,-85.330093
48.092207,4.961233,-154.085626,-85.327987
48.262022,4.608439,-154.021463,-85.325976
48.431836,2.966616,-153.957365,-85.323959
48.601651,1.55045,-153.893322,-85.321936
48.771466,1.092065,-153.829335,-85.319907
48.941281,0.571379,-153.765403,-85.317872
49.111096,0.995487,-153.701526,-85.315832
49.280911,2.894998,-153.637705,-85.313786
49.450725,3.054392,-153.573945,-85.311733
49.62054,1.370338,-153.51023,-85.309676
49.790355,4.441297,-153.446576,-85.307613
49.860581,4.441297,-153.420269,-85.306758
50.030396,1.88325,-153.42202,-85.312356
50.200211,3.440651,-153.423797,-85.317955
50.370026,4.928223,-153.425549,-85.323553
50.539841,5.11799,-153.427331,-85.329151
50.709656,4.502604,-153.42911,-85.334749
50.87947,4.644435,-153.430893,-85.340348
