position,TerrainSlope,lon,lat
0.794767,4.336644,-149.921772, -85.759981
0.800346,4.268696,-149.91963, -85.759887
0.805924,4.256984,-149.917489, -85.759793
0.811503,4.266464,-149.915348, -85.759699
0.817081,4.275295,-149.913207, -85.759606
0.82266,4.284217,-149.911066, -85.759512
0.828238,4.293746,-149.908925, -85.759418
0.833817,4.30303,-149.906785, -85.759325
0.839395,4.312772,-149.904644, -85.759231
0.844974,4.322213,-149.902504, -85.759137
0.850552,4.188561,-149.900363, -85.759043
0.856131,3.84518,-149.898223, -85.75895
0.861709,3.60066,-149.896082, -85.758856
0.867288,3.549748,-149.893942, -85.758762
0.872866,3.534226,-149.891802, -85.758668
0.878445,3.518907,-149.889662, -85.758574
0.884023,3.503657,-149.887522, -85.758481
0.889602,3.488227,-149.885383, -85.758387
0.89518,3.47283,-149.883243, -85.758293
0.900759,3.458189,-149.881103, -85.758199
0.906337,3.44382,-149.878964, -85.758105
0.911916,3.466762,-149.876824, -85.758012
0.917494,3.535532,-149.874685, -85.757918
0.923073,3.597002,-149.872546, -85.757824
0.928651,3.642748,-149.870407, -85.75773
0.93423,3.688829,-149.868268, -85.757636
0.939809,3.73586,-149.866129, -85.757542
0.945387,3.783059,-149.86399, -85.757449
0.950966,3.831261,-149.861851, -85.757355
0.956544,3.880591,-149.859713, -85.757261
0.962123,3.930126,-149.857574, -85.757167
0.967701,3.980786,-149.855436, -85.757073
0.97328,4.402052,-149.853303, -85.756978
0.978858,4.929834,-149.851159, -85.756885
0.984437,5.012832,-149.849021, -85.756791
0.990015,4.9634,-149.846883, -85.756698
0.995594,4.915456,-149.844745, -85.756604
1.001172,4.868811,-149.842613, -85.756509
1.006751,4.823585,-149.840469, -85.756416
1.012329,4.779619,-149.838331, -85.756322
1.017908,4.737222,-149.836194, -85.756228
1.023486,4.696376,-149.834056, -85.756134
1.029065,4.636625,-149.831919, -85.75604
1.034643,4.335656,-149.829782, -85.755946
1.040222,4.078471,-149.827644, -85.755852
1.0458,4.091936,-149.825507, -85.755758
1.051379,4.116902,-149.823376, -85.755664
1.056957,4.142354,-149.821233, -85.75557
1.062536,4.168146,-149.819096, -85.755476
1.068114,4.194387,-149.81696, -85.755382
1.073693,4.2211,-149.814823, -85.755288
1.079271,4.248258,-149.812686, -85.755194
1.08485,4.273092,-149.81055, -85.7551
1.090428,4.232757,-149.808413, -85.755006
1.096007,4.022892,-149.806277, -85.754912
1.101585,3.852814,-149.804141, -85.754818
1.107164,3.825386,-149.802005, -85.754724
1.112743,3.798494,-149.799869, -85.75463
1.118321,3.771892,-149.797733, -85.754536
1.1239,3.745835,-149.795597, -85.754442
1.129478,3.719741,-149.793461, -85.754348
1.135057,3.693897,-149.791326, -85.754254
1.140635,3.66903,-149.78919, -85.75416
1.146214,3.654314,-149.787055, -85.754066
1.151792,3.719588,-149.784919, -85.753972
1.157371,3.867353,-149.78279, -85.753877
1.162949,3.928,-149.780649, -85.753784
1.168528,3.889425,-149.77852, -85.753689
1.174106,3.851667,-149.776379, -85.753596
1.179685,3.815618,-149.77425, -85.753501
1.185263,3.781715,-149.772115, -85.753407
1.190842,3.749434,-149.769975, -85.753313
1.19642,3.718934,-149.76784, -85.753219
1.201999,3.689128,-149.765706, -85.753125
1.207577,3.566902,-149.763571, -85.753031
1.213156,3.097584,-149.761437, -85.752937
1.218734,2.524935,-149.759303, -85.752843
1.224313,2.320087,-149.757169, -85.752748
1.229891,2.331793,-149.755035, -85.752654
1.23547,2.34316,-149.752901, -85.75256
1.241048,2.355195,-149.750767, -85.752466
1.246627,2.367758,-149.748633, -85.752372
1.252205,2.379804,-149.746499, -85.752278
1.257784,2.392352,-149.744366, -85.752183
1.263362,2.405446,-149.742232, -85.752089
1.268941,2.849398,-149.740099, -85.751995
1.274519,4.26192,-149.737966, -85.751901
1.280098,5.599875,-149.735833, -85.751807
1.285677,5.978444,-149.7337, -85.751712
1.291255,6.01719,-149.731567, -85.751618
1.296834,6.059168,-149.729434, -85.751524
1.302412,6.105182,-149.727307, -85.751429
